seconds 	point x 	point y 	point z 	position x	position y	position z	flag    	

0.018   	0.987   	0.000   	-0.561  	-0.000  	1.820   	0.000   	-       	
0.034   	0.987   	0.000   	-0.561  	-0.000  	1.820   	0.000   	-       	
0.051   	0.982   	0.000   	-0.560  	-0.000  	1.820   	0.000   	-       	
0.067   	0.985   	0.000   	-0.580  	-0.000  	1.820   	0.000   	-       	
0.084   	1.014   	0.000   	-0.626  	-0.000  	1.820   	0.000   	-       	
0.101   	1.049   	0.000   	-0.663  	-0.000  	1.820   	0.000   	-       	
0.117   	1.084   	0.000   	-0.695  	-0.000  	1.820   	0.000   	-       	
0.133   	1.123   	0.000   	-0.730  	-0.000  	1.820   	0.000   	-       	
0.150   	1.141   	0.000   	-0.744  	-0.000  	1.820   	0.000   	-       	
0.166   	1.151   	0.000   	-0.753  	-0.000  	1.820   	0.000   	-       	
0.183   	1.151   	0.000   	-0.753  	-0.000  	1.820   	0.000   	-       	
0.200   	1.158   	0.000   	-0.758  	-0.000  	1.820   	0.000   	-       	
0.217   	1.174   	0.000   	-0.776  	-0.000  	1.820   	0.000   	-       	
0.233   	1.184   	0.000   	-0.786  	-0.000  	1.820   	0.000   	-       	
0.250   	1.201   	0.000   	-0.802  	-0.000  	1.820   	0.000   	-       	
0.267   	1.225   	0.000   	-0.824  	-0.000  	1.820   	0.000   	-       	
0.284   	1.229   	0.000   	-0.827  	-0.000  	1.820   	0.000   	-       	
0.300   	1.229   	0.000   	-0.827  	-0.000  	1.820   	0.000   	-       	
0.317   	1.229   	0.000   	-0.827  	-0.000  	1.820   	0.000   	-       	
0.334   	1.229   	0.000   	-0.827  	-0.000  	1.820   	0.000   	-       	
0.350   	1.229   	0.000   	-0.827  	-0.000  	1.820   	0.000   	-       	
0.367   	1.261   	0.000   	-0.831  	-0.000  	1.820   	0.000   	-       	
0.385   	1.298   	0.000   	-0.818  	-0.000  	1.820   	0.000   	-       	
0.401   	1.345   	0.000   	-0.798  	-0.000  	1.820   	0.000   	-       	
0.418   	1.394   	0.000   	-0.795  	-0.000  	1.820   	0.000   	-       	
0.434   	1.441   	0.000   	-0.795  	-0.000  	1.820   	0.000   	-       	
0.451   	1.495   	0.000   	-0.795  	-0.000  	1.820   	0.000   	-       	
0.467   	1.531   	0.000   	-0.795  	-0.000  	1.820   	0.000   	-       	
0.484   	1.555   	0.000   	-0.796  	-0.000  	1.820   	0.000   	-       	
0.500   	1.578   	0.000   	-0.801  	-0.000  	1.820   	0.000   	-       	
0.517   	1.598   	0.000   	-0.811  	-0.000  	1.820   	0.000   	-       	
0.534   	1.636   	0.000   	-0.824  	-0.000  	1.820   	0.000   	-       	
0.551   	1.684   	0.000   	-0.845  	-0.000  	1.820   	0.000   	-       	
0.567   	1.739   	0.000   	-0.869  	-0.000  	1.820   	0.000   	-       	
0.585   	1.791   	0.000   	-0.891  	-0.000  	1.820   	0.000   	-       	
0.601   	1.825   	0.000   	-0.908  	-0.000  	1.820   	0.000   	-       	
0.618   	1.896   	0.000   	-0.943  	-0.000  	1.820   	0.000   	-       	
0.634   	1.938   	0.000   	-0.965  	-0.000  	1.820   	0.000   	-       	
0.651   	1.976   	0.000   	-0.983  	-0.000  	1.820   	0.000   	-       	
0.667   	2.008   	0.000   	-0.999  	-0.000  	1.820   	0.000   	-       	
0.684   	2.054   	0.000   	-1.038  	-0.000  	1.820   	0.000   	-       	
0.701   	2.099   	0.000   	-1.082  	-0.000  	1.820   	0.000   	-       	
0.718   	2.162   	0.000   	-1.149  	-0.000  	1.820   	0.000   	-       	
0.734   	2.237   	-0.008  	-1.239  	-0.000  	1.820   	0.000   	-       	
0.751   	2.301   	-0.008  	-1.322  	-0.000  	1.820   	0.000   	-       	
0.767   	2.338   	0.000   	-1.398  	-0.000  	1.820   	0.000   	-       	
0.784   	2.366   	0.000   	-1.460  	-0.000  	1.820   	0.000   	-       	
0.801   	2.389   	0.000   	-1.569  	-0.000  	1.820   	0.000   	-       	
0.817   	2.408   	0.000   	-1.648  	-0.000  	1.820   	0.000   	-       	
0.834   	2.448   	0.000   	-1.773  	-0.000  	1.820   	0.000   	-       	
0.850   	2.497   	0.000   	-1.912  	-0.000  	1.820   	0.000   	-       	
0.867   	2.574   	0.000   	-2.082  	-0.000  	1.820   	0.000   	-       	
0.886   	2.651   	0.000   	-2.229  	-0.000  	1.820   	0.000   	-       	
0.900   	2.719   	0.000   	-2.359  	-0.000  	1.820   	0.000   	-       	
0.918   	2.800   	0.000   	-2.532  	-0.000  	1.820   	0.000   	-       	
0.934   	2.858   	0.000   	-2.676  	-0.000  	1.820   	0.000   	-       	
0.950   	2.910   	0.000   	-2.838  	-0.000  	1.820   	0.000   	-       	
0.967   	2.937   	0.000   	-2.910  	-0.000  	1.820   	0.000   	-       	
0.984   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.000   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.017   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.034   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.050   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.067   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.084   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.100   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.117   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.134   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.150   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.167   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.184   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.200   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.217   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.234   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.250   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.267   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.284   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.301   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.317   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.334   	2.932   	0.000   	-2.914  	-0.000  	1.820   	0.000   	-       	
1.351   	2.925   	0.000   	-2.897  	-0.000  	1.820   	0.000   	-       	
1.368   	2.639   	0.000   	-2.615  	-0.000  	1.820   	0.000   	-       	
1.385   	2.422   	0.000   	-2.347  	-0.000  	1.820   	0.000   	-       	
1.401   	2.137   	0.000   	-2.032  	-0.000  	1.820   	0.000   	-       	
1.417   	1.988   	0.000   	-1.861  	-0.000  	1.820   	0.000   	-       	
1.434   	1.855   	0.000   	-1.683  	-0.000  	1.820   	0.000   	-       	
1.451   	1.719   	0.000   	-1.496  	-0.000  	1.820   	0.000   	-       	
1.467   	1.581   	0.000   	-1.308  	-0.000  	1.820   	0.000   	-       	
1.484   	1.464   	0.000   	-1.177  	-0.000  	1.820   	0.000   	-       	
1.501   	1.375   	0.000   	-1.087  	-0.000  	1.820   	0.000   	-       	
1.517   	1.285   	0.000   	-1.003  	-0.000  	1.820   	0.000   	-       	
1.534   	1.214   	0.000   	-0.923  	-0.000  	1.820   	0.000   	-       	
1.601   	1.147   	0.000   	-0.823  	-0.000  	1.820   	0.000   	-       	
1.605   	1.119   	0.000   	-0.753  	-0.000  	1.820   	0.000   	-       	
1.618   	1.119   	0.000   	-0.753  	-0.000  	1.820   	0.000   	-       	
1.634   	1.221   	0.000   	-0.822  	-0.000  	1.820   	0.000   	-       	
1.651   	1.298   	0.000   	-0.873  	-0.000  	1.820   	0.000   	-       	
1.667   	1.352   	0.000   	-0.910  	-0.000  	1.820   	0.000   	-       	
1.684   	1.396   	0.000   	-0.939  	-0.000  	1.820   	0.000   	-       	
1.701   	1.425   	0.000   	-0.962  	-0.000  	1.820   	0.000   	-       	
1.717   	1.486   	0.000   	-1.020  	-0.000  	1.820   	0.000   	-       	
1.734   	1.589   	0.000   	-1.109  	-0.000  	1.820   	0.000   	-       	
1.751   	1.717   	0.000   	-1.227  	-0.000  	1.820   	0.000   	-       	
1.767   	1.849   	0.000   	-1.357  	-0.000  	1.820   	0.000   	-       	
1.784   	1.990   	0.000   	-1.480  	-0.000  	1.820   	0.000   	-       	
1.801   	2.307   	-0.008  	-1.790  	-0.000  	1.820   	0.000   	-       	
1.818   	2.561   	0.000   	-2.039  	-0.000  	1.820   	0.000   	-       	
1.834   	2.974   	0.000   	-2.398  	-0.000  	1.820   	0.000   	-       	
1.851   	3.420   	0.000   	-2.758  	-0.000  	1.820   	0.000   	-       	
1.868   	3.787   	-0.001  	-3.053  	-0.000  	1.820   	0.000   	-       	
1.884   	4.159   	0.000   	-3.354  	-0.000  	1.820   	0.000   	-       	
1.901   	4.489   	-0.008  	-3.690  	-0.000  	1.820   	0.000   	-       	
1.917   	4.704   	0.006   	-3.941  	-0.000  	1.820   	0.000   	-       	
1.934   	5.062   	-0.008  	-4.296  	-0.000  	1.820   	0.000   	-       	
1.951   	5.678   	-0.008  	-4.835  	-0.000  	1.820   	0.000   	-       	
1.967   	6.477   	-0.004  	-5.462  	-0.000  	1.820   	0.000   	-       	
1.984   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.001   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.018   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.035   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.051   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.068   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.085   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.101   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.118   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.135   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.152   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.168   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.185   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.201   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.218   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.235   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.252   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.268   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.285   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
